BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cultivar_s	genotype_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN03082008	SRX710969	959	648	SRR1586693	SRS709715	GSM1514483	Oh43_TIL01	F1 cross	ear tissue from cross Oh43_TIL01,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082010	SRX710971	1054	727	SRR1586695	SRS709716	GSM1514485	Oh43_TIL03	F1 cross	ear tissue from cross Oh43_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082009	SRX710970	830	572	SRR1586694	SRS709717	GSM1514484	Oh43_TIL03	F1 cross	ear tissue from cross Oh43_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082012	SRX710973	794	567	SRR1586697	SRS709718	GSM1514487	Oh43_TIL09	F1 cross	ear tissue from cross Oh43_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082011	SRX710972	765	520	SRR1586696	SRS709719	GSM1514486	Oh43_TIL09	F1 cross	ear tissue from cross Oh43_TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082013	SRX710974	661	459	SRR1586698	SRS709720	GSM1514488	Oh43_TIL09	F1 cross	ear tissue from cross Oh43_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082014	SRX710975	944	658	SRR1586699	SRS709721	GSM1514489	Oh43_TIL09	F1 cross	ear tissue from cross Oh43_TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082015	SRX710976	782	534	SRR1586700	SRS709722	GSM1514490	Oh43_TIL10	F1 cross	ear tissue from cross Oh43_TIL10,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082016	SRX710977	812	584	SRR1586701	SRS709723	GSM1514491	Oh43_TIL10	F1 cross	ear tissue from cross Oh43_TIL10,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082017	SRX710978	1094	756	SRR1586702	SRS709724	GSM1514492	Oh43_TIL10	F1 cross	ear tissue from cross Oh43_TIL10,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082018	SRX710979	849	574	SRR1586703	SRS709725	GSM1514493	Oh43_TIL10	F1 cross	ear tissue from cross Oh43_TIL10,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082020	SRX710981	1063	784	SRR1586705	SRS709726	GSM1514495	Oh43_TIL11	F1 cross	ear tissue from cross Oh43_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082019	SRX710980	851	640	SRR1586704	SRS709727	GSM1514494	Oh43_TIL11	F1 cross	ear tissue from cross Oh43_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082021	SRX710982	667	504	SRR1586706	SRS709728	GSM1514496	Oh43_TIL11	F1 cross	ear tissue from cross Oh43_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081667	SRX710984	826	620	SRR1586708	SRS709729	GSM1514498	Oh43_TIL15	F1 cross	ear tissue from cross Oh43_TIL15,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081683	SRX710983	751	555	SRR1586707	SRS709730	GSM1514497	Oh43_TIL11	F1 cross	ear tissue from cross Oh43_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081669	SRX710985	1026	756	SRR1586709	SRS709731	GSM1514499	Oh43_TIL15	F1 cross	ear tissue from cross Oh43_TIL15,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081671	SRX710986	790	539	SRR1586710	SRS709732	GSM1514500	Oh43_TIL15	F1 cross	ear tissue from cross Oh43_TIL15,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081673	SRX710987	838	600	SRR1586711	SRS709733	GSM1514501	Oh43_TIL15	F1 cross	ear tissue from cross Oh43_TIL15,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081675	SRX710988	898	671	SRR1586712	SRS709734	GSM1514502	Oh43_TIL25	F1 cross	ear tissue from cross Oh43_TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081677	SRX710989	1000	723	SRR1586713	SRS709735	GSM1514503	Oh43_TIL25	F1 cross	ear tissue from cross Oh43_TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081679	SRX710990	879	655	SRR1586714	SRS709736	GSM1514504	Oh43_TIL25	F1 cross	ear tissue from cross Oh43_TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081681	SRX710991	984	709	SRR1586715	SRS709737	GSM1514505	Oh43_TIL25	F1 cross	ear tissue from cross Oh43_TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081685	SRX710992	761	567	SRR1586716	SRS709738	GSM1514506	Oh43_TIL25	F1 cross	ear tissue from cross Oh43_TIL25,biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081687	SRX710993	950	681	SRR1586717	SRS709739	GSM1514507	Oh43_TIL25	F1 cross	ear tissue from cross Oh43_TIL25,biological replicate 3	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081689	SRX710994	691	516	SRR1586718	SRS709740	GSM1514508	W22_TIL01	F1 cross	ear tissue from cross W22_TIL01,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081691	SRX710995	755	543	SRR1586719	SRS709741	GSM1514509	W22_TIL01	F1 cross	ear tissue from cross W22_TIL01,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081693	SRX710996	736	501	SRR1586720	SRS709742	GSM1514510	W22_TIL01	F1 cross	ear tissue from cross W22_TIL01,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081695	SRX710997	744	533	SRR1586721	SRS709743	GSM1514511	W22_TIL01	F1 cross	ear tissue from cross W22_TIL01,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081697	SRX710998	843	576	SRR1586722	SRS709744	GSM1514512	W22_TIL03	F1 cross	ear tissue from cross W22_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081699	SRX710999	828	591	SRR1586723	SRS709745	GSM1514513	W22_TIL03	F1 cross	ear tissue from cross W22_TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081701	SRX711000	557	416	SRR1586724	SRS709746	GSM1514514	W22_TIL03	F1 cross	ear tissue from cross W22_TIL03,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081705	SRX711002	864	592	SRR1586726	SRS709747	GSM1514516	W22_TIL11	F1 cross	ear tissue from cross W22_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081703	SRX711001	728	521	SRR1586725	SRS709748	GSM1514515	W22_TIL03	F1 cross	ear tissue from cross W22_TIL03,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081709	SRX711004	636	436	SRR1586728	SRS709749	GSM1514518	W22_TIL11	F1 cross	ear tissue from cross W22_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081707	SRX711003	927	665	SRR1586727	SRS709750	GSM1514517	W22_TIL11	F1 cross	ear tissue from cross W22_TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081711	SRX711005	864	595	SRR1586729	SRS709751	GSM1514519	W22_TIL11	F1 cross	ear tissue from cross W22_TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081713	SRX711006	918	631	SRR1586730	SRS709752	GSM1514520	W22_TIL14	F1 cross	ear tissue from cross W22_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081716	SRX711007	933	673	SRR1586731	SRS709753	GSM1514521	W22_TIL14	F1 cross	ear tissue from cross W22_TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081719	SRX711008	678	466	SRR1586732	SRS709754	GSM1514522	W22_TIL25	F1 cross	ear tissue from cross W22_TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081721	SRX711009	920	634	SRR1586733	SRS709755	GSM1514523	W22_TIL25	F1 cross	ear tissue from cross W22_TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081725	SRX711010	756	564	SRR1586734	SRS709756	GSM1514524	W22_TIL25	F1 cross	ear tissue from cross W22_TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081730	SRX711012	863	594	SRR1586736	SRS709757	GSM1514526	B73	maize	ear tissue from parent B73,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081728	SRX711011	852	613	SRR1586735	SRS709758	GSM1514525	W22_TIL25	F1 cross	ear tissue from cross W22_TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082023	SRX711014	1195	820	SRR1586738	SRS709759	GSM1514528	CML103	maize	ear tissue from parent CML103,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082022	SRX711013	799	558	SRR1586737	SRS709760	GSM1514527	B73	maize	ear tissue from parent B73,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082024	SRX711015	862	598	SRR1586739	SRS709761	GSM1514529	CML103	maize	ear tissue from parent CML103,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082025	SRX711016	1379	946	SRR1586740	SRS709762	GSM1514530	Ki3	maize	ear tissue from parent Ki3,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082026	SRX711017	847	580	SRR1586741	SRS709763	GSM1514531	Ki3	maize	ear tissue from parent Ki3,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082027	SRX711018	1110	768	SRR1586742	SRS709764	GSM1514532	Mo17	maize	ear tissue from parent Mo17,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082028	SRX711019	786	551	SRR1586743	SRS709765	GSM1514533	Mo17	maize	ear tissue from parent Mo17,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082029	SRX711020	1090	750	SRR1586744	SRS709766	GSM1514534	Oh43	maize	ear tissue from parent Oh43,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082031	SRX711022	685	478	SRR1586746	SRS709767	GSM1514536	TIL01	teosinte	ear tissue from parent TIL01,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082030	SRX711021	875	611	SRR1586745	SRS709768	GSM1514535	Oh43	maize	ear tissue from parent Oh43,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082032	SRX711023	674	473	SRR1586747	SRS709769	GSM1514537	TIL01	teosinte	ear tissue from parent TIL01,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082033	SRX711024	1080	743	SRR1586748	SRS709770	GSM1514538	TIL03	teosinte	ear tissue from parent TIL03,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082034	SRX711025	821	565	SRR1586749	SRS709771	GSM1514539	TIL03	teosinte	ear tissue from parent TIL03,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082035	SRX711026	852	587	SRR1586750	SRS709772	GSM1514540	TIL05	teosinte	ear tissue from parent TIL05,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082036	SRX711027	836	586	SRR1586751	SRS709773	GSM1514541	TIL05	teosinte	ear tissue from parent TIL05,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082037	SRX711028	758	523	SRR1586752	SRS709774	GSM1514542	TIL09	teosinte	ear tissue from parent TIL09,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082038	SRX711029	1022	711	SRR1586753	SRS709775	GSM1514543	TIL09	teosinte	ear tissue from parent TIL09,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082039	SRX711030	963	677	SRR1586754	SRS709776	GSM1514544	TIL10	teosinte	ear tissue from parent TIL10,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082041	SRX711032	944	674	SRR1586756	SRS709777	GSM1514546	TIL11	teosinte	ear tissue from parent TIL11,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082040	SRX711031	1036	710	SRR1586755	SRS709778	GSM1514545	TIL10	teosinte	ear tissue from parent TIL10,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082042	SRX711033	941	652	SRR1586757	SRS709779	GSM1514547	TIL11	teosinte	ear tissue from parent TIL11,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082043	SRX711034	872	613	SRR1586758	SRS709780	GSM1514548	TIL14	teosinte	ear tissue from parent TIL14,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082044	SRX711035	1101	768	SRR1586759	SRS709781	GSM1514549	TIL14	teosinte	ear tissue from parent TIL14,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082046	SRX711036	1049	724	SRR1586760	SRS709782	GSM1514550	TIL15	teosinte	ear tissue from parent TIL15,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082047	SRX711037	831	576	SRR1586761	SRS709783	GSM1514551	TIL15	teosinte	ear tissue from parent TIL15,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082048	SRX711038	852	584	SRR1586762	SRS709784	GSM1514552	TIL25	teosinte	ear tissue from parent TIL25,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082049	SRX711039	945	652	SRR1586763	SRS709785	GSM1514553	TIL25	teosinte	ear tissue from parent TIL25,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082050	SRX711040	866	590	SRR1586764	SRS709786	GSM1514554	W22	maize	ear tissue from parent W22,biological replicate 1	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082051	SRX711041	621	438	SRR1586765	SRS709787	GSM1514555	W22	maize	ear tissue from parent W22,biological replicate 2	ear	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081634	SRX711042	945	640	SRR1586766	SRS709788	GSM1514556	B73_TIL01	F1 cross	leaf tissue from cross B73_TIL01,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081635	SRX711043	948	643	SRR1586767	SRS709789	GSM1514557	B73_TIL01	F1 cross	leaf tissue from cross B73_TIL01,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03082045	SRX711044	984	707	SRR1586768	SRS709790	GSM1514558	B73_TIL01	F1 cross	leaf tissue from cross B73_TIL01,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081637	SRX711046	1099	790	SRR1586770	SRS709791	GSM1514560	B73_TIL03	F1 cross	leaf tissue from cross B73_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081636	SRX711045	835	628	SRR1586769	SRS709792	GSM1514559	B73_TIL01	F1 cross	leaf tissue from cross B73_TIL01,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
